"Country","Country_Code","Indicator","Series_Code","Value","Year","Period"
"Afghanistan","AFG","Account (% age 15+)","account.t.d",9.01,2011,"Pre-COVID"
"Afghanistan","AFG","Account (% age 15+)","account.t.d",9.96,2014,"Pre-COVID"
"Afghanistan","AFG","Account (% age 15+)","account.t.d",14.89,2017,"Pre-COVID"
"Afghanistan","AFG","Account (% age 15+)","account.t.d",9.65,2021,"Post-COVID"
"Afghanistan","AFG","Account (% age 15+)","account.t.d",NA,2022,"Post-COVID"
"Afghanistan","AFG","Account, female (% age 15+)","account.t.d.1",2.62,2011,"Pre-COVID"
"Afghanistan","AFG","Account, female (% age 15+)","account.t.d.1",3.81,2014,"Pre-COVID"
"Afghanistan","AFG","Account, female (% age 15+)","account.t.d.1",7.16,2017,"Pre-COVID"
"Afghanistan","AFG","Account, female (% age 15+)","account.t.d.1",4.7,2021,"Post-COVID"
"Afghanistan","AFG","Account, female (% age 15+)","account.t.d.1",NA,2022,"Post-COVID"
"Afghanistan","AFG","Account, male (% age 15+)","account.t.d.2",15.42,2011,"Pre-COVID"
"Afghanistan","AFG","Account, male (% age 15+)","account.t.d.2",15.78,2014,"Pre-COVID"
"Afghanistan","AFG","Account, male (% age 15+)","account.t.d.2",22.54,2017,"Pre-COVID"
"Afghanistan","AFG","Account, male (% age 15+)","account.t.d.2",14.79,2021,"Post-COVID"
"Afghanistan","AFG","Account, male (% age 15+)","account.t.d.2",NA,2022,"Post-COVID"
"Afghanistan","AFG","Borrowed any money (% age 15+)","borrow.any",NA,2011,"Pre-COVID"
"Afghanistan","AFG","Borrowed any money (% age 15+)","borrow.any",34.86,2014,"Pre-COVID"
"Afghanistan","AFG","Borrowed any money (% age 15+)","borrow.any",33.92,2017,"Pre-COVID"
"Afghanistan","AFG","Borrowed any money (% age 15+)","borrow.any",67.97,2021,"Post-COVID"
"Afghanistan","AFG","Borrowed any money (% age 15+)","borrow.any",NA,2022,"Post-COVID"
"Afghanistan","AFG","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011,"Pre-COVID"
"Afghanistan","AFG","Made a digital payment (% age 15+)","g20.made.t.d",3.78,2014,"Pre-COVID"
"Afghanistan","AFG","Made a digital payment (% age 15+)","g20.made.t.d",3.76,2017,"Pre-COVID"
"Afghanistan","AFG","Made a digital payment (% age 15+)","g20.made.t.d",4.71,2021,"Post-COVID"
"Afghanistan","AFG","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022,"Post-COVID"
"Afghanistan","AFG","Saved any money (% age 15+)","save.any",NA,2011,"Pre-COVID"
"Afghanistan","AFG","Saved any money (% age 15+)","save.any",25.77,2014,"Pre-COVID"
"Afghanistan","AFG","Saved any money (% age 15+)","save.any",14.02,2017,"Pre-COVID"
"Afghanistan","AFG","Saved any money (% age 15+)","save.any",5.62,2021,"Post-COVID"
"Afghanistan","AFG","Saved any money (% age 15+)","save.any",NA,2022,"Post-COVID"
"Albania","ALB","Account (% age 15+)","account.t.d",28.27,2011,"Pre-COVID"
"Albania","ALB","Account (% age 15+)","account.t.d",37.99,2014,"Pre-COVID"
"Albania","ALB","Account (% age 15+)","account.t.d",40.02,2017,"Pre-COVID"
"Albania","ALB","Account (% age 15+)","account.t.d",44.17,2021,"Post-COVID"
"Albania","ALB","Account (% age 15+)","account.t.d",NA,2022,"Post-COVID"
"Albania","ALB","Account, female (% age 15+)","account.t.d.1",22.67,2011,"Pre-COVID"
"Albania","ALB","Account, female (% age 15+)","account.t.d.1",33.59,2014,"Pre-COVID"
"Albania","ALB","Account, female (% age 15+)","account.t.d.1",38.1,2017,"Pre-COVID"
"Albania","ALB","Account, female (% age 15+)","account.t.d.1",45.69,2021,"Post-COVID"
"Albania","ALB","Account, female (% age 15+)","account.t.d.1",NA,2022,"Post-COVID"
"Albania","ALB","Account, male (% age 15+)","account.t.d.2",33.66,2011,"Pre-COVID"
"Albania","ALB","Account, male (% age 15+)","account.t.d.2",42.52,2014,"Pre-COVID"
"Albania","ALB","Account, male (% age 15+)","account.t.d.2",42.04,2017,"Pre-COVID"
"Albania","ALB","Account, male (% age 15+)","account.t.d.2",42.59,2021,"Post-COVID"
"Albania","ALB","Account, male (% age 15+)","account.t.d.2",NA,2022,"Post-COVID"
"Albania","ALB","Borrowed any money (% age 15+)","borrow.any",NA,2011,"Pre-COVID"
"Albania","ALB","Borrowed any money (% age 15+)","borrow.any",56.78,2014,"Pre-COVID"
"Albania","ALB","Borrowed any money (% age 15+)","borrow.any",42.97,2017,"Pre-COVID"
"Albania","ALB","Borrowed any money (% age 15+)","borrow.any",42.69,2021,"Post-COVID"
"Albania","ALB","Borrowed any money (% age 15+)","borrow.any",NA,2022,"Post-COVID"
"Albania","ALB","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011,"Pre-COVID"
"Albania","ALB","Made a digital payment (% age 15+)","g20.made.t.d",12.25,2014,"Pre-COVID"
"Albania","ALB","Made a digital payment (% age 15+)","g20.made.t.d",14.41,2017,"Pre-COVID"
"Albania","ALB","Made a digital payment (% age 15+)","g20.made.t.d",17.65,2021,"Post-COVID"
"Albania","ALB","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022,"Post-COVID"
"Albania","ALB","Saved any money (% age 15+)","save.any",NA,2011,"Pre-COVID"
"Albania","ALB","Saved any money (% age 15+)","save.any",38.37,2014,"Pre-COVID"
"Albania","ALB","Saved any money (% age 15+)","save.any",25.88,2017,"Pre-COVID"
"Albania","ALB","Saved any money (% age 15+)","save.any",31.79,2021,"Post-COVID"
"Albania","ALB","Saved any money (% age 15+)","save.any",NA,2022,"Post-COVID"
"Algeria","DZA","Account (% age 15+)","account.t.d",33.29,2011,"Pre-COVID"
"Algeria","DZA","Account (% age 15+)","account.t.d",50.48,2014,"Pre-COVID"
"Algeria","DZA","Account (% age 15+)","account.t.d",42.78,2017,"Pre-COVID"
"Algeria","DZA","Account (% age 15+)","account.t.d",44.1,2021,"Post-COVID"
"Algeria","DZA","Account (% age 15+)","account.t.d",NA,2022,"Post-COVID"
"Algeria","DZA","Account, female (% age 15+)","account.t.d.1",20.41,2011,"Pre-COVID"
