"Country","Country_Code","Indicator","Series_Code","Value","Year"
"Afghanistan","AFG","Account (% age 15+)","account.t.d",9.01,2011
"Afghanistan","AFG","Account (% age 15+)","account.t.d",9.96,2014
"Afghanistan","AFG","Account (% age 15+)","account.t.d",14.89,2017
"Afghanistan","AFG","Account (% age 15+)","account.t.d",9.65,2021
"Afghanistan","AFG","Account (% age 15+)","account.t.d",NA,2022
"Afghanistan","AFG","Account, female (% age 15+)","account.t.d.1",2.62,2011
"Afghanistan","AFG","Account, female (% age 15+)","account.t.d.1",3.81,2014
"Afghanistan","AFG","Account, female (% age 15+)","account.t.d.1",7.16,2017
"Afghanistan","AFG","Account, female (% age 15+)","account.t.d.1",4.7,2021
"Afghanistan","AFG","Account, female (% age 15+)","account.t.d.1",NA,2022
"Afghanistan","AFG","Account, male (% age 15+)","account.t.d.2",15.42,2011
"Afghanistan","AFG","Account, male (% age 15+)","account.t.d.2",15.78,2014
"Afghanistan","AFG","Account, male (% age 15+)","account.t.d.2",22.54,2017
"Afghanistan","AFG","Account, male (% age 15+)","account.t.d.2",14.79,2021
"Afghanistan","AFG","Account, male (% age 15+)","account.t.d.2",NA,2022
"Afghanistan","AFG","Borrowed any money (% age 15+)","borrow.any",NA,2011
"Afghanistan","AFG","Borrowed any money (% age 15+)","borrow.any",34.86,2014
"Afghanistan","AFG","Borrowed any money (% age 15+)","borrow.any",33.92,2017
"Afghanistan","AFG","Borrowed any money (% age 15+)","borrow.any",67.97,2021
"Afghanistan","AFG","Borrowed any money (% age 15+)","borrow.any",NA,2022
"Afghanistan","AFG","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011
"Afghanistan","AFG","Made a digital payment (% age 15+)","g20.made.t.d",3.78,2014
"Afghanistan","AFG","Made a digital payment (% age 15+)","g20.made.t.d",3.76,2017
"Afghanistan","AFG","Made a digital payment (% age 15+)","g20.made.t.d",4.71,2021
"Afghanistan","AFG","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022
"Afghanistan","AFG","Saved any money (% age 15+)","save.any",NA,2011
"Afghanistan","AFG","Saved any money (% age 15+)","save.any",25.77,2014
"Afghanistan","AFG","Saved any money (% age 15+)","save.any",14.02,2017
"Afghanistan","AFG","Saved any money (% age 15+)","save.any",5.62,2021
"Afghanistan","AFG","Saved any money (% age 15+)","save.any",NA,2022
"Albania","ALB","Account (% age 15+)","account.t.d",28.27,2011
"Albania","ALB","Account (% age 15+)","account.t.d",37.99,2014
"Albania","ALB","Account (% age 15+)","account.t.d",40.02,2017
"Albania","ALB","Account (% age 15+)","account.t.d",44.17,2021
"Albania","ALB","Account (% age 15+)","account.t.d",NA,2022
"Albania","ALB","Account, female (% age 15+)","account.t.d.1",22.67,2011
"Albania","ALB","Account, female (% age 15+)","account.t.d.1",33.59,2014
"Albania","ALB","Account, female (% age 15+)","account.t.d.1",38.1,2017
"Albania","ALB","Account, female (% age 15+)","account.t.d.1",45.69,2021
"Albania","ALB","Account, female (% age 15+)","account.t.d.1",NA,2022
"Albania","ALB","Account, male (% age 15+)","account.t.d.2",33.66,2011
"Albania","ALB","Account, male (% age 15+)","account.t.d.2",42.52,2014
"Albania","ALB","Account, male (% age 15+)","account.t.d.2",42.04,2017
"Albania","ALB","Account, male (% age 15+)","account.t.d.2",42.59,2021
"Albania","ALB","Account, male (% age 15+)","account.t.d.2",NA,2022
"Albania","ALB","Borrowed any money (% age 15+)","borrow.any",NA,2011
"Albania","ALB","Borrowed any money (% age 15+)","borrow.any",56.78,2014
"Albania","ALB","Borrowed any money (% age 15+)","borrow.any",42.97,2017
"Albania","ALB","Borrowed any money (% age 15+)","borrow.any",42.69,2021
"Albania","ALB","Borrowed any money (% age 15+)","borrow.any",NA,2022
"Albania","ALB","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011
"Albania","ALB","Made a digital payment (% age 15+)","g20.made.t.d",12.25,2014
"Albania","ALB","Made a digital payment (% age 15+)","g20.made.t.d",14.41,2017
"Albania","ALB","Made a digital payment (% age 15+)","g20.made.t.d",17.65,2021
"Albania","ALB","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022
"Albania","ALB","Saved any money (% age 15+)","save.any",NA,2011
"Albania","ALB","Saved any money (% age 15+)","save.any",38.37,2014
"Albania","ALB","Saved any money (% age 15+)","save.any",25.88,2017
"Albania","ALB","Saved any money (% age 15+)","save.any",31.79,2021
"Albania","ALB","Saved any money (% age 15+)","save.any",NA,2022
"Algeria","DZA","Account (% age 15+)","account.t.d",33.29,2011
"Algeria","DZA","Account (% age 15+)","account.t.d",50.48,2014
"Algeria","DZA","Account (% age 15+)","account.t.d",42.78,2017
"Algeria","DZA","Account (% age 15+)","account.t.d",44.1,2021
"Algeria","DZA","Account (% age 15+)","account.t.d",NA,2022
"Algeria","DZA","Account, female (% age 15+)","account.t.d.1",20.41,2011
"Algeria","DZA","Account, female (% age 15+)","account.t.d.1",40.07,2014
"Algeria","DZA","Account, female (% age 15+)","account.t.d.1",29.27,2017
"Algeria","DZA","Account, female (% age 15+)","account.t.d.1",31.19,2021
"Algeria","DZA","Account, female (% age 15+)","account.t.d.1",NA,2022
"Algeria","DZA","Account, male (% age 15+)","account.t.d.2",46.13,2011
"Algeria","DZA","Account, male (% age 15+)","account.t.d.2",60.91,2014
"Algeria","DZA","Account, male (% age 15+)","account.t.d.2",56.25,2017
"Algeria","DZA","Account, male (% age 15+)","account.t.d.2",56.83,2021
"Algeria","DZA","Account, male (% age 15+)","account.t.d.2",NA,2022
"Algeria","DZA","Borrowed any money (% age 15+)","borrow.any",NA,2011
"Algeria","DZA","Borrowed any money (% age 15+)","borrow.any",25.79,2014
"Algeria","DZA","Borrowed any money (% age 15+)","borrow.any",28.87,2017
"Algeria","DZA","Borrowed any money (% age 15+)","borrow.any",37.59,2021
"Algeria","DZA","Borrowed any money (% age 15+)","borrow.any",NA,2022
"Algeria","DZA","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011
"Algeria","DZA","Made a digital payment (% age 15+)","g20.made.t.d",11.71,2014
"Algeria","DZA","Made a digital payment (% age 15+)","g20.made.t.d",15.57,2017
"Algeria","DZA","Made a digital payment (% age 15+)","g20.made.t.d",12.76,2021
"Algeria","DZA","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022
"Algeria","DZA","Saved any money (% age 15+)","save.any",NA,2011
"Algeria","DZA","Saved any money (% age 15+)","save.any",45.31,2014
"Algeria","DZA","Saved any money (% age 15+)","save.any",38.66,2017
"Algeria","DZA","Saved any money (% age 15+)","save.any",45.69,2021
"Algeria","DZA","Saved any money (% age 15+)","save.any",NA,2022
"Angola","AGO","Account (% age 15+)","account.t.d",39.2,2011
"Angola","AGO","Account (% age 15+)","account.t.d",29.32,2014
