"","date","value","countryiso3code","Series_Code"
"1","2024",2.38158383281173,"CAN","FP.CPI.TOTL.ZG"
"2","2023",3.87900159788426,"CAN","FP.CPI.TOTL.ZG"
"3","2022",6.80280115341613,"CAN","FP.CPI.TOTL.ZG"
"4","2021",3.39519318527528,"CAN","FP.CPI.TOTL.ZG"
"5","2020",0.716999632307827,"CAN","FP.CPI.TOTL.ZG"
"6","2019",1.94926902411593,"CAN","FP.CPI.TOTL.ZG"
"7","2018",2.26822567248103,"CAN","FP.CPI.TOTL.ZG"
"8","2017",1.59688412852977,"CAN","FP.CPI.TOTL.ZG"
"9","2016",1.42875954701085,"CAN","FP.CPI.TOTL.ZG"
"10","2015",1.12524136094277,"CAN","FP.CPI.TOTL.ZG"
"11","2014",1.90663590717861,"CAN","FP.CPI.TOTL.ZG"
"12","2013",0.938291897815317,"CAN","FP.CPI.TOTL.ZG"
"13","2012",1.51567823124517,"CAN","FP.CPI.TOTL.ZG"
"14","2011",2.91213508872351,"CAN","FP.CPI.TOTL.ZG"
"15","2024",4.72225588452932,"MEX","FP.CPI.TOTL.ZG"
"16","2023",5.52796087314389,"MEX","FP.CPI.TOTL.ZG"
"17","2022",7.8962761916855,"MEX","FP.CPI.TOTL.ZG"
"18","2021",5.68920847683753,"MEX","FP.CPI.TOTL.ZG"
"19","2020",3.39683415570006,"MEX","FP.CPI.TOTL.ZG"
"20","2019",3.63596142127046,"MEX","FP.CPI.TOTL.ZG"
"21","2018",4.89935015356551,"MEX","FP.CPI.TOTL.ZG"
"22","2017",6.04145724018986,"MEX","FP.CPI.TOTL.ZG"
"23","2016",2.8217078474766,"MEX","FP.CPI.TOTL.ZG"
"24","2015",2.72064064964023,"MEX","FP.CPI.TOTL.ZG"
"25","2014",4.01861608078679,"MEX","FP.CPI.TOTL.ZG"
"26","2013",3.80639069747204,"MEX","FP.CPI.TOTL.ZG"
"27","2012",4.11150981070289,"MEX","FP.CPI.TOTL.ZG"
"28","2011",3.40737824605742,"MEX","FP.CPI.TOTL.ZG"
"29","2024",2.94952520485207,"USA","FP.CPI.TOTL.ZG"
"30","2023",4.11633838374488,"USA","FP.CPI.TOTL.ZG"
"31","2022",8.00279982052121,"USA","FP.CPI.TOTL.ZG"
"32","2021",4.69785886363742,"USA","FP.CPI.TOTL.ZG"
"33","2020",1.23358439630629,"USA","FP.CPI.TOTL.ZG"
"34","2019",1.81221007526021,"USA","FP.CPI.TOTL.ZG"
"35","2018",2.44258329692817,"USA","FP.CPI.TOTL.ZG"
"36","2017",2.13011000365961,"USA","FP.CPI.TOTL.ZG"
"37","2016",1.26158320570536,"USA","FP.CPI.TOTL.ZG"
"38","2015",0.118627135552451,"USA","FP.CPI.TOTL.ZG"
"39","2014",1.62222297740817,"USA","FP.CPI.TOTL.ZG"
"40","2013",1.46483265562717,"USA","FP.CPI.TOTL.ZG"
"41","2012",2.06933726526067,"USA","FP.CPI.TOTL.ZG"
"42","2011",3.156841568622,"USA","FP.CPI.TOTL.ZG"
"43","2024",2241253230970.34,"CAN","NY.GDP.MKTP.CD"
"44","2023",2173339670064.33,"CAN","NY.GDP.MKTP.CD"
"45","2022",2190411080134.32,"CAN","NY.GDP.MKTP.CD"
"46","2021",2022378748423.23,"CAN","NY.GDP.MKTP.CD"
"47","2020",1655684730000.19,"CAN","NY.GDP.MKTP.CD"
"48","2019",1743725183672.52,"CAN","NY.GDP.MKTP.CD"
"49","2018",1725329192783.02,"CAN","NY.GDP.MKTP.CD"
"50","2017",1649265644244.09,"CAN","NY.GDP.MKTP.CD"
"51","2016",1527994741907.43,"CAN","NY.GDP.MKTP.CD"
"52","2015",1556508816217.14,"CAN","NY.GDP.MKTP.CD"
"53","2014",1805749878439.94,"CAN","NY.GDP.MKTP.CD"
"54","2013",1846597421834.98,"CAN","NY.GDP.MKTP.CD"
"55","2012",1828366481521.6,"CAN","NY.GDP.MKTP.CD"
"56","2011",1793326630174.52,"CAN","NY.GDP.MKTP.CD"
"57","2024",1852722885258.11,"MEX","NY.GDP.MKTP.CD"
"58","2023",1793798859343.27,"MEX","NY.GDP.MKTP.CD"
"59","2022",1466464899303.68,"MEX","NY.GDP.MKTP.CD"
"60","2021",1316569466735.28,"MEX","NY.GDP.MKTP.CD"
"61","2020",1121064767401.51,"MEX","NY.GDP.MKTP.CD"
"62","2019",1304106203902.45,"MEX","NY.GDP.MKTP.CD"
"63","2018",1256300182775.8,"MEX","NY.GDP.MKTP.CD"
"64","2017",1190721475906,"MEX","NY.GDP.MKTP.CD"
"65","2016",1112233497452.7,"MEX","NY.GDP.MKTP.CD"
"66","2015",1213294467779.98,"MEX","NY.GDP.MKTP.CD"
"67","2014",1364507717764.6,"MEX","NY.GDP.MKTP.CD"
"68","2013",1327436290439.27,"MEX","NY.GDP.MKTP.CD"
"69","2012",1255110424665.92,"MEX","NY.GDP.MKTP.CD"
"70","2011",1229013703577.75,"MEX","NY.GDP.MKTP.CD"
"71","2024",2.918489e+13,"USA","NY.GDP.MKTP.CD"
"72","2023",2.7720709e+13,"USA","NY.GDP.MKTP.CD"
